Abj?j,Abjij,√»ÃÌÃ,29.2861,30.8152,Egypt,EG,EGY,Al Fayy?m,,10057,1818397315
Abn?b,Abnub,«»‰Ê»,27.2667,31.15,Egypt,EG,EGY,Asy??,,67526,1818739665
Ab? Q?r,Abu Qir,«»Ê ﬁÌ—,31.3167,30.0667,Egypt,EG,EGY,Al Iskandar?yah,,37997,1818093442
Ab? Qurq??,Abu Qurqas,«»Ê ﬁ—ﬁ«”,27.9308,30.8364,Egypt,EG,EGY,Al Miny?,,63264,1818889126
A? ?abëah,Ad Dab`ah,«·÷»⁄…,31.0338,28.4333,Egypt,EG,EGY,Ma?r??,,14212,1818525598
Akhm?m,Akhmim,«Œ„Ì„,26.5642,31.7461,Egypt,EG,EGY,S?h?j,,101509,1818295057
Al ëAlamayn,Al `Alamayn,«·⁄·„Ì‰,30.8333,28.95,Egypt,EG,EGY,Ma?r??,,2413,1818237095
Al ëAr?sh,Al `Arish,«·⁄—Ì‘,31.1249,33.8006,Egypt,EG,EGY,Sham?l S?n?í,admin,178651,1818291145
Al Bad?r?,Al Badari,«·»œ«—Ï,26.9925,31.4156,Egypt,EG,EGY,Asy??,,42770,1818459800
Al Balyan?,Al Balyana,«·»·Ì«‰«,26.2329,31.9993,Egypt,EG,EGY,S?h?j,,46997,1818610123
Al Fayy?m,Al Fayyum,«·›ÌÊ„,29.3,30.8333,Egypt,EG,EGY,Al Fayy?m,admin,315940,1818281002
Al Ghardaqah,Al Ghardaqah,«·€—œﬁ…,27.2578,33.8117,Egypt,EG,EGY,Al Ba?r al A?mar,admin,160901,1818666245
Al ??bah,Al Hibah,«·ÂÌ»Â,28.8,30.9167,Egypt,EG,EGY,Al Ba?r al A?mar,,16209,1818176638
Al ?usayn?yah,Al Husayniyah,«·Õ”Ì‰Ì…,30.8617,31.9181,Egypt,EG,EGY,Ash Sharq?yah,,30825,1818070991
Al Karnak,Al Karnak,«·ﬂ—‰ﬂ,25.7184,32.6581,Egypt,EG,EGY,Al Uq?ur,,26488,1818862945
Al Kh?rjah,Al Kharjah,«·Œ«—ÃÂ,25.44,30.55,Egypt,EG,EGY,Al W?d? al Jad?d,admin,49991,1818872500
Al Mad?m?d,Al Madamud,«·„œ«„Ê‰ ,25.7333,32.7125,Egypt,EG,EGY,Al Uq?ur,,15091,1818431308
Al Man??rah,Al Mansurah,«·„‰’Ê—…,31.05,31.3833,Egypt,EG,EGY,Ad Daqahl?yah,admin,960423,1818255319
Al Minsh?h,Al Minshah,«·„Ì‰‘Â,26.4769,31.8036,Egypt,EG,EGY,S?h?j,,65484,1818211426
Al Miny?,Al Minya,«·„‰Ì«,28.0833,30.75,Egypt,EG,EGY,Al Miny?,admin,236043,1818607968
Al Qa?r,Al Qasr,«·ﬁ’—,25.6959,28.8837,Egypt,EG,EGY,Al W?d? al Jad?d,,4474,1818618401
Al Qays,Al Qays,«·ﬁ”,28.4833,30.7833,Egypt,EG,EGY,Al Miny?,,20603,1818728041
Al Q???yah,Al Qusiyah,«·ﬁ’Ì…,27.4403,30.8183,Egypt,EG,EGY,Asy??,,69388,1818093562
Alexandria,Alexandria,«·«”ﬂ‰œ—Ì…,31.2,29.9167,Egypt,EG,EGY,Al Iskandar?yah,admin,4870000,1818695837
Armant,Armant,«—„‰ ,25.6167,32.5333,Egypt,EG,EGY,Qin?,,76457,1818701870
As Sall?m,As Sallum,«·”·Ê„,31.5525,25.1575,Egypt,EG,EGY,Ma?r??,,8445,1818639105
Asw?n,Aswan,«”Ê«‰,24.0889,32.8997,Egypt,EG,EGY,Asw?n,admin,267913,1818262512
Asy??,Asyut,«”ÌÊÿ,27.1869,31.1714,Egypt,EG,EGY,Asy??,admin,389307,1818456592
A? ??r,At Tur,«·ÿÊ—,28.2333,33.6167,Egypt,EG,EGY,Jan?b S?n?í,admin,12733,1818306172
Az Zaq?z?q,Az Zaqaziq,«·“ﬁ«“Ìﬁ,30.5833,31.5167,Egypt,EG,EGY,Ash Sharq?yah,admin,285097,1818017750
Banh?,Banha,»‰Â«,30.4628,31.1797,Egypt,EG,EGY,Al Qaly?b?yah,admin,157701,1818596265
Ban? ?asan ash Shur?q,Bani Hasan ash Shuruq,»‰Ï Õ”‰ ‘—ﬁÌ…,27.9314,30.8753,Egypt,EG,EGY,Al Miny?,,18218,1818622612
Ban? Maz?r,Bani Mazar,»‰Ï „“«—,28.5036,30.8003,Egypt,EG,EGY,Al Miny?,,79553,1818729843
Ban? Murr,Bani Murr,»‰Ï „Ê—,27.2272,31.1944,Egypt,EG,EGY,Asy??,,20065,1818556807
Ban? Suwayf,Bani Suwayf,»‰Ï ”ÊÌ›,29.0667,31.0833,Egypt,EG,EGY,Ban? Suwayf,admin,193048,1818902849
Barn?s,Barnis,»—‰Ì”,23.946,35.4842,Egypt,EG,EGY,Al Ba?r al A?mar,,10,1818107956
Bilbays,Bilbays,»·»Ì”,30.4167,31.5667,Egypt,EG,EGY,Ash Sharq?yah,,141285,1818863783
Birq?sh,Birqash,»—ﬁ«‘,30.1692,31.0417,Egypt,EG,EGY,Al J?zah,,14172,1818471185
Biyahm?,Biyahmu,»Ì«Â„Ê,29.3696,30.8538,Egypt,EG,EGY,Al Fayy?m,,17486,1818316929
B?r Fuí?d,Bur Fu'ad,»Ê— ›ƒ«œ,31.2314,32.3253,Egypt,EG,EGY,B?r Saë?d,,70417,1818849497
Burj al ëArab,Burj al `Arab,»—Ã «·⁄—»,30.9167,29.5333,Egypt,EG,EGY,Al Iskandar?yah,,12625,1818114873
Cairo,Cairo,«·ﬁ«Â—…,30.0444,31.2358,Egypt,EG,EGY,Al Q?hirah,primary,19787000,1818253931
Damanh?r,Damanhur,œ„‰ÂÊ—,31.05,30.4667,Egypt,EG,EGY,Al Bu?ayrah,admin,244043,1818708838
Damietta,Damietta,œ„Ì«ÿ,31.4167,31.8214,Egypt,EG,EGY,Dumy??,admin,206664,1818333966
Dandarah,Dandarah,œ‰œ—…,26.1422,32.6697,Egypt,EG,EGY,Qin?,,53109,1818692271
Dar?w,Daraw,œ—ÊÂ,24.4003,32.9306,Egypt,EG,EGY,Asw?n,,38400,1818705709
Dayr Ab? ?innis,Dayr Abu Hinnis,œÌ«— »‰Ã„,27.7864,30.905,Egypt,EG,EGY,Al Miny?,,19638,1818016476
Dayr al Barsh?,Dayr al Barsha,œÌ«— «·»—‘«,27.7572,30.91,Egypt,EG,EGY,Al Miny?,,14297,1818073234
Dayr al Jarn?s,Dayr al Jarnus,œÌ«— «·Ã—‰Ê”,28.61,30.7067,Egypt,EG,EGY,Al Miny?,,6504,1818001458
Dayr as Sanq?r?yah,Dayr as Sanquriyah,œÌ«— «·”«‰ﬂÊ—ÌÂ,28.4833,30.65,Egypt,EG,EGY,Al Miny?,,8911,1818109000
Dayr Maw?s,Dayr Mawas,œÌ«— „Ê«”,27.6414,30.8494,Egypt,EG,EGY,Al Miny?,,40640,1818973684
Dish?shah,Dishashah,œ‘«‘…,28.9831,30.8492,Egypt,EG,EGY,Ban? Suwayf,,11844,1818375380
Dis?q,Disuq,œ”Êﬁ,31.1325,30.6478,Egypt,EG,EGY,Kafr ash Shaykh,,143404,1818106054
F?rask?r,Faraskur,›—”ﬂÊ—,31.3297,31.7147,Egypt,EG,EGY,Dumy??,,36850,1818275538
Giza,Giza,«·ÃÌ“«,29.987,31.2118,Egypt,EG,EGY,Al J?zah,admin,5598402,1818925479
?alw?n,Halwan,Õ·Ê«‰,29.8419,31.3342,Egypt,EG,EGY,Al Q?hirah,,619293,1818000039
Hihy?,Hihya,ÂÂÌ«,30.6687,31.5904,Egypt,EG,EGY,Ash Sharq?yah,,66702,1818905246
Hirr?yat Raznah,Hirriyat Raznah,Õ—Ì«  —«“‰…,30.6028,31.5372,Egypt,EG,EGY,Ash Sharq?yah,,24359,1818867916
Idf?,Idfu,«œ›Ê,24.9781,32.8789,Egypt,EG,EGY,Asw?n,,133772,1818755693
