city,city_ascii,lat,lng,country,«·≈”„,iso2,iso3,admin_name,capital,population,id
A?bak,Aibak,36.2534,68.0394,Afghanistan,√›€«‰” «‰,AF,AFG,Samang?n,admin,4938,1004564619
Andkh?y,Andkhoy,36.95,65.1167,Afghanistan,√›€«‰” «‰,AF,AFG,F?ry?b,minor,37887,1004472345
Asad?b?d,Asadabad,34.8742,71.1528,Afghanistan,√›€«‰” «‰,AF,AFG,Kuna?,admin,48400,1004251962
Baghl?n,Baghlan,36.1328,68.7,Afghanistan,√›€«‰” «‰,AF,AFG,Baghl?n,minor,39228,1004943705
Balkh,Balkh,36.7581,66.8989,Afghanistan,√›€«‰” «‰,AF,AFG,Balkh,minor,77000,1004654094
B?my?n,Bamyan,34.8167,67.8167,Afghanistan,√›€«‰” «‰,AF,AFG,B?my?n,admin,61863,1004274041
Barak? Barak,Baraki Barak,33.9667,68.9667,Afghanistan,√›€«‰” «‰,AF,AFG,L?gar,minor,22305,1004707647
B?z?rak,Bazarak,35.3129,69.5152,Afghanistan,√›€«‰” «‰,AF,AFG,Panjshir,admin,,1004374554
Buyn? Qarah,Buyni Qarah,36.3172,66.8747,Afghanistan,√›€«‰” «‰,AF,AFG,Balkh,,5842,1004472874
Ch?r?k?r,Charikar,35.0183,69.1679,Afghanistan,√›€«‰” «‰,AF,AFG,Parw?n,admin,53676,1004817775
Fa???b?d,Faizabad,37.1298,70.5792,Afghanistan,√›€«‰” «‰,AF,AFG,Badakhsh?n,admin,64704,1004452653
Far?h,Farah,32.3436,62.1194,Afghanistan,√›€«‰” «‰,AF,AFG,Far?h,admin,73647,1004523791
Fayr?z K?h,Fayroz Koh,34.5225,65.2517,Afghanistan,√›€«‰” «‰,AF,AFG,Gh?r,admin,15000,1004988038
Gard?z,Gardez,33.5931,69.2297,Afghanistan,√›€«‰” «‰,AF,AFG,Paktiy?,admin,70000,1004468894
Ghazn?,Ghazni,33.5492,68.4233,Afghanistan,√›€«‰” «‰,AF,AFG,Ghazn?,admin,143379,1004167490
Her?t,Herat,34.3738,62.1792,Afghanistan,√›€«‰” «‰,AF,AFG,Her?t,admin,556205,1004237782
Jal?l?b?d,Jalalabad,34.4303,70.4528,Afghanistan,√›€«‰” «‰,AF,AFG,Nangarh?r,admin,263312,1004315012
Kabul,Kabul,34.5328,69.1658,Afghanistan,√›€«‰” «‰,AF,AFG,K?bul,primary,4273156,1004993580
Kandah?r,Kandahar,31.6078,65.7053,Afghanistan,√›€«‰” «‰,AF,AFG,Kandah?r,admin,614254,1004003059
Karukh,Karukh,34.4868,62.5918,Afghanistan,√›€«‰” «‰,AF,AFG,Her?t,minor,17484,1004546127
Kh?n?b?d,Khanabad,36.6831,69.1636,Afghanistan,√›€«‰” «‰,AF,AFG,Kunduz,minor,26803,1004931539
Kh?st,Khost,33.3333,69.9167,Afghanistan,√›€«‰” «‰,AF,AFG,Kh?st,admin,160214,1004919977
Khulm,Khulm,36.6833,67.6833,Afghanistan,√›€«‰” «‰,AF,AFG,Balkh,minor,28078,1004486677
K??ah-ye ëAs?h?r?,Kotah-ye `Ashro,34.45,68.8,Afghanistan,√›€«‰” «‰,AF,AFG,Wardak,,35008,1004450357
Kunduz,Kunduz,36.728,68.8725,Afghanistan,√›€«‰” «‰,AF,AFG,Kunduz,admin,259809,1004227517
Lashkar G?h,Lashkar Gah,31.5938,64.3716,Afghanistan,√›€«‰” «‰,AF,AFG,Helmand,admin,201546,1004765445
Ma?m?d-e R?q?,Mahmud-e Raqi,35.0167,69.3333,Afghanistan,√›€«‰” «‰,AF,AFG,K?p?s?,admin,7407,1004151943
Ma?d?n Shahr,Maidan Shahr,34.3972,68.8697,Afghanistan,√›€«‰” «‰,AF,AFG,Wardak,admin,35008,1004798735
Ma?manah,Maimanah,35.9302,64.7701,Afghanistan,√›€«‰” «‰,AF,AFG,F?ry?b,admin,199795,1004622920
Maz?r-e Shar?f,Mazar-e Sharif,36.7,67.1167,Afghanistan,√›€«‰” «‰,AF,AFG,Balkh,admin,469247,1004436363
Mehtar L?m,Mehtar Lam,34.6683,70.2089,Afghanistan,√›€«‰” «‰,AF,AFG,Laghm?n,admin,17345,1004590769
N?l?,Nili,33.7218,66.1302,Afghanistan,√›€«‰” «‰,AF,AFG,D?ykund?,admin,,1004642532
P?r?n,Parun,35.4206,70.9226,Afghanistan,√›€«‰” «‰,AF,AFG,N?rist?n,admin,,1004795942
Pul-e ëAlam,Pul-e `Alam,33.9953,69.0227,Afghanistan,√›€«‰” «‰,AF,AFG,L?gar,admin,,1004180853
Pul-e Khumr?,Pul-e Khumri,35.95,68.7,Afghanistan,√›€«‰” «‰,AF,AFG,Baghl?n,admin,113500,1004123527
Qalëah-ye Now,Qal`ah-ye Now,34.99,63.12,Afghanistan,√›€«‰” «‰,AF,AFG,B?dgh?s,admin,5340,1004947440
Qalëah-ye Z?l,Qal`ah-ye Zal,37.015,68.4672,Afghanistan,√›€«‰” «‰,AF,AFG,Kunduz,,18000,1004481163
Qal?t,Qalat,32.1061,66.9069,Afghanistan,√›€«‰” «‰,AF,AFG,Z?bul,admin,12191,1004016690
Sar-e Pul,Sar-e Pul,36.2214,65.9278,Afghanistan,√›€«‰” «‰,AF,AFG,Sar-e Pul,admin,51075,1004047427
Sharan,Sharan,33.1757,68.7304,Afghanistan,√›€«‰” «‰,AF,AFG,Pakt?k?,admin,,1004273142
Shibirgh?n,Shibirghan,36.665,65.752,Afghanistan,√›€«‰” «‰,AF,AFG,Jowzj?n,admin,175599,1004805783
T?luq?n,Taluqan,36.7167,69.5167,Afghanistan,√›€«‰” «‰,AF,AFG,Takh?r,admin,263800,1004687194
Tar?n K??,Tarin Kot,32.6333,65.8667,Afghanistan,√›€«‰” «‰,AF,AFG,Uruzg?n,admin,10000,1004893931
Zaranj,Zaranj,30.96,61.86,Afghanistan,√›€«‰” «‰,AF,AFG,N?mr?z,admin,49851,1004504986
Zargh?n Shahr,Zarghun Shahr,32.85,68.4167,Afghanistan,√›€«‰” «‰,AF,AFG,Pakt?k?,,13737,1004965319
Bajram Curri,Bajram Curri,42.3582,20.076,Albania,√·»«‰Ì«,AL,ALB,KukÎs,,5340,1008251523
Ballsh,Ballsh,40.5991,19.7359,Albania,√·»«‰Ì«,AL,ALB,Fier,,7657,1008709957
Belsh,Belsh,40.9833,19.8833,Albania,√·»«‰Ì«,AL,ALB,Elbasan,,8781,1008080226
Berat,Berat,40.7049,19.9497,Albania,√·»«‰Ì«,AL,ALB,Berat,admin,36496,1008955153
Bilisht,Bilisht,40.6275,20.99,Albania,√·»«‰Ì«,AL,ALB,KorÁÎ,,7114,1008832248
BulqizÎ,Bulqize,41.5,20.2167,Albania,√·»«‰Ì«,AL,ALB,DibÎr,,8177,1008809272
Burrel,Burrel,41.6,20,Albania,√·»«‰Ì«,AL,ALB,DibÎr,,10862,1008883153
CÎrrik,Cerrik,41.0333,19.9833,Albania,√·»«‰Ì«,AL,ALB,Elbasan,,6695,1008302673
?orovodÎ,Corovode,40.5042,20.2272,Albania,√·»«‰Ì«,AL,ALB,Berat,,4051,1008566247
DelvinÎ,Delvine,39.9494,20.0958,Albania,√·»«‰Ì«,AL,ALB,VlorÎ,,5754,1008273800
DivjakÎ,Divjake,40.9964,19.5327,Albania,√·»«‰Ì«,AL,ALB,Fier,,8445,1008489904
DurrÎs,Durres,41.3242,19.4558,Albania,√·»«‰Ì«,AL,ALB,DurrÎs,admin,113249,1008173690
Elbasan,Elbasan,41.1125,20.0822,Albania,√·»«‰Ì«,AL,ALB,Elbasan,admin,78703,1008409270
ErsekÎ,Erseke,40.3333,20.6833,Albania,√·»«‰Ì«,AL,ALB,KorÁÎ,,3746,1008049831
Fier,Fier,40.7167,19.55,Albania,√·»«‰Ì«,AL,ALB,Fier,admin,120655,1008293317
FushÎ-KrujÎ,Fushe-Kruje,41.4833,19.7167,Albania,√·»«‰Ì«,AL,ALB,DurrÎs,,18477,1008652935
GjirokastÎr,Gjirokaster,40.0758,20.1389,Albania,√·»«‰Ì«,AL,ALB,GjirokastÎr,admin,23437,1008368062
Gramsh,Gramsh,40.8667,20.1833,Albania,√·»«‰Ì«,AL,ALB,Elbasan,,8440,1008632813
KamÎz,Kamez,41.3833,19.7667,Albania,√·»«‰Ì«,AL,ALB,TiranÎ,,126777,1008148968
KavajÎ,Kavaje,41.1833,19.55,Albania,√·»«‰Ì«,AL,ALB,TiranÎ,,29354,1008475617
KorÁÎ,Korce,40.6167,20.7667,Albania,√·»«‰Ì«,AL,ALB,KorÁÎ,admin,51152,1008361921
KrujÎ,Kruje,41.5178,19.7978,Albania,√·»«‰Ì«,AL,ALB,DurrÎs,,11721,1008696208
KrumÎ,Krume,42.1961,20.4146,Albania,√·»«‰Ì«,AL,ALB,KukÎs,,6006,1008823158
KuÁovÎ,Kucove,40.8039,19.9144,Albania,√·»«‰Ì«,AL,ALB,Berat,,12654,1008520632
KukÎs,Kukes,42.0758,20.4231,Albania,√·»«‰Ì«,AL,ALB,KukÎs,admin,16719,1008649172
LaÁ,Lac,41.6353,19.7131,Albania,√·»«‰Ì«,AL,ALB,LezhÎ,,17086,1008762785
LezhÎ,Lezhe,41.7805,19.6434,Albania,√·»«‰Ì«,AL,ALB,LezhÎ,admin,15510,1008889153
Libonik,Libonik,40.75,20.7167,Albania,√·»«‰Ì«,AL,ALB,KorÁÎ,,8922,1008483668
Librazhd,Librazhd,41.1833,20.3167,Albania,√·»«‰Ì«,AL,ALB,Elbasan,,6937,1008800835
Librazhd-QendÎr,Librazhd-Qender,41.1969,20.3356,Albania,√·»«‰Ì«,AL,ALB,Elbasan,,12691,1008639331
LushnjÎ,Lushnje,40.9333,19.7,Albania,√·»«‰Ì«,AL,ALB,Fier,,31105,1008790888
Mamurras,Mamurras,41.5775,19.6922,Albania,√·»«‰Ì«,AL,ALB,LezhÎ,,8282,1008549519
Patos,Patos,40.6841,19.6194,Albania,√·»«‰Ì«,AL,ALB,Fier,,15397,1008184635
Peqin,Peqin,41.05,19.75,Albania,√·»«‰Ì«,AL,ALB,Elbasan,,6353,1008394656
PÎrmet,Permet,40.2333,20.35,Albania,√·»«‰Ì«,AL,ALB,GjirokastÎr,,5945,1008604833
Peshkopi,Peshkopi,41.6831,20.4289,Albania,√·»«‰Ì«,AL,ALB,DibÎr,admin,13251,1008412550
Pogradec,Pogradec,40.9,20.65,Albania,√·»«‰Ì«,AL,ALB,KorÁÎ,,20848,1008366566
Prrenjas,Prrenjas,41.0667,20.55,Albania,√·»«‰Ì«,AL,ALB,Elbasan,,5847,1008654405
PukÎ,Puke,42.05,19.9,Albania,√·»«‰Ì«,AL,ALB,ShkodÎr,,3607,1008739218
Roskovec,Roskovec,40.7375,19.7022,Albania,√·»«‰Ì«,AL,ALB,Fier,,6657,1008765146
RrÎshen,Rreshen,41.7667,19.8833,Albania,√·»«‰Ì«,AL,ALB,LezhÎ,,8803,1008845269
RrogozhinÎ,Rrogozhine,41.0761,19.6667,Albania,√·»«‰Ì«,AL,ALB,TiranÎ,,7049,1008422115
SarandÎ,Sarande,39.8833,20.0167,Albania,√·»«‰Ì«,AL,ALB,VlorÎ,,41000,1008879697
ShÎngjin,Shengjin,41.8136,19.5939,Albania,√·»«‰Ì«,AL,ALB,LezhÎ,,8091,1008373202
Shijak,Shijak,41.3456,19.5672,Albania,√·»«‰Ì«,AL,ALB,DurrÎs,,7568,1008348826
ShkodÎr,Shkoder,42.0667,19.5,Albania,√·»«‰Ì«,AL,ALB,ShkodÎr,admin,112276,1008977725
Sukth,Sukth,41.3833,19.5333,Albania,√·»«‰Ì«,AL,ALB,DurrÎs,,15966,1008647190
TepelenÎ,Tepelene,40.3,20.0167,Albania,√·»«‰Ì«,AL,ALB,GjirokastÎr,,4342,1008683571
Tirana,Tirana,41.33,19.82,Albania,√·»«‰Ì«,AL,ALB,TiranÎ,primary,418495,1008162156
Vau i DejÎs,Vau i Dejes,42,19.6333,Albania,√·»«‰Ì«,AL,ALB,ShkodÎr,,8117,1008394491
VlorÎ,Vlore,40.45,19.4833,Albania,√·»«‰Ì«,AL,ALB,VlorÎ,admin,130827,1008276050
Abadla,Abadla,31.0167,-2.7333,Algeria,«·Ã“«∆—,DZ,DZA,BÈchar,,14364,1012262770
Abalessa,Abalessa,22.89,4.8472,Algeria,«·Ã“«∆—,DZ,DZA,Tamanrasset,,9163,1012479386
Adrar,Adrar,27.8742,-0.2939,Algeria,«·Ã“«∆—,DZ,DZA,Adrar,admin,68276,1012462113
Afir,Afir,36.7676,3.7029,Algeria,«·Ã“«∆—,DZ,DZA,Boumerdes,,13223,1012675026
íAÔn Abessa,'Ain Abessa,36.3,5.295,Algeria,«·Ã“«∆—,DZ,DZA,SÈtif,,16770,1012074116
íAÔn Arnat,'Ain Arnat,36.1833,5.3167,Algeria,«·Ã“«∆—,DZ,DZA,SÈtif,,43551,1012453452
íAÔn Azel,'Ain Azel,35.8433,5.5219,Algeria,«·Ã“«∆—,DZ,DZA,SÈtif,,48487,1012746080
AÔn BeÔda,Ain Beida,35.7964,7.3928,Algeria,«·Ã“«∆—,DZ,DZA,Oum el Bouaghi,,116064,1012021090
AÔn Defla,Ain Defla,36.2583,1.9583,Algeria,«·Ã“«∆—,DZ,DZA,AÔn Defla,admin,,1012656497
íAÔn el Hammam,'Ain el Hammam,36.5714,4.3097,Algeria,«·Ã“«∆—,DZ,DZA,Tizi Ouzou,,20401,1012595495
AÔn Oussera,Ain Oussera,35.4489,2.9044,Algeria,«·Ã“«∆—,DZ,DZA,Djelfa,,101239,1012469007
íAÔn Roua,'Ain Roua,36.3344,5.1806,Algeria,«·Ã“«∆—,DZ,DZA,SÈtif,,11499,1012529757
AÔn Sefra,Ain Sefra,32.75,-0.5833,Algeria,«·Ã“«∆—,DZ,DZA,Naama,,63420,1012884513
AÔn Temouchent,Ain Temouchent,35.3044,-1.14,Algeria,«·Ã“«∆—,DZ,DZA,AÔn Temouchent,admin,,1012763655
AÔn ZaouÔa,Ain Zaouia,36.5483,3.8942,Algeria,«·Ã“«∆—,DZ,DZA,Tizi Ouzou,,17320,1012695288
AÔt Bou Madhi,Ait Bou Madhi,36.5009,4.2,Algeria,«·Ã“«∆—,DZ,DZA,Tizi Ouzou,,6113,1012471822
