Abasolo,Abasolo,Abasolo,20.4511,-101.5289,Mexico,MX,MEX,Guanajuato,minor,27389,1484064616
Abasolo,Abasolo,Abasolo,24.0559,-98.3733,Mexico,MX,MEX,Tamaulipas,minor,11862,1484491384
Acacoyagua,Acacoyagua,Acacoyagua,15.3408,-92.6747,Mexico,MX,MEX,Chiapas,minor,8092,1484526569
Acala,Acala,Acala,16.5533,-92.8069,Mexico,MX,MEX,Chiapas,minor,15001,1484788928
Ac?mbaro,Acambaro,Acambaro,20.0361,-100.7314,Mexico,MX,MEX,Guanajuato,minor,57972,1484524073
Acanceh,Acanceh,Acanceh,20.8133,-89.4524,Mexico,MX,MEX,Yucat?n,minor,10968,1484170180
Acapulco de Ju?rez,Acapulco de Juarez,Acapulco de Juarez,16.8636,-99.8825,Mexico,MX,MEX,Guerrero,minor,673478,1484463183
Acatic,Acatic,Acatic,20.7803,-102.91,Mexico,MX,MEX,Jalisco,minor,21530,1484373854
Acatl?n,Acatlan,Acatlan,20.4242,-103.6014,Mexico,MX,MEX,Jalisco,minor,22261,1484516807
Acatl?n de Osorio,Acatlan de Osorio,Acatlan de Osorio,18.2086,-98.0575,Mexico,MX,MEX,Puebla,,18879,1484340141
Acatl?n de Pérez Figueroa,Acatlan de Perez Figueroa,Acatlan de Perez Figueroa,18.5333,-96.6167,Mexico,MX,MEX,Oaxaca,,45883,1484695178
Acatzingo,Acatzingo,Acatzingo,18.9817,-97.7822,Mexico,MX,MEX,Puebla,minor,52078,1484022961
Acayucan,Acayucan,Acayucan,17.9422,-94.9103,Mexico,MX,MEX,Veracruz,minor,83817,1484349924
Actopan,Actopan,Actopan,19.5036,-96.6192,Mexico,MX,MEX,Veracruz,minor,43388,1484594634
Actopan,Actopan,Actopan,20.267,-98.933,Mexico,MX,MEX,Hidalgo,,29223,1484903562
Acula,Acula,Acula,18.5167,-95.7833,Mexico,MX,MEX,Veracruz,minor,5350,1484501031
Agua Blanca Iturbide,Agua Blanca Iturbide,Agua Blanca Iturbide,20.35,-98.35,Mexico,MX,MEX,Hidalgo,,10313,1484459690
Agua Prieta,Agua Prieta,Agua Prieta,31.3258,-109.5489,Mexico,MX,MEX,Sonora,minor,91029,1484381848
Aguascalientes,Aguascalientes,Aguascalientes,21.876,-102.296,Mexico,MX,MEX,Aguascalientes,admin,934424,1484666646
Ahualulco de Mercado,Ahualulco de Mercado,Ahualulco de Mercado,20.6992,-103.9556,Mexico,MX,MEX,Jalisco,minor,23362,1484137273
Ahumada,Ahumada,Ahumada,30.6186,-106.5122,Mexico,MX,MEX,Chihuahua,minor,8575,1484004336
Ajacuba,Ajacuba,Ajacuba,20.0833,-99.1167,Mexico,MX,MEX,Hidalgo,,18872,1484132188
Akil,Akil,Akil,20.2656,-89.3478,Mexico,MX,MEX,Yucat?n,,10176,1484515773
?lamos,Alamos,Alamos,27.0275,-108.94,Mexico,MX,MEX,Sonora,minor,10961,1484052656
Albarradas,Albarradas,Albarradas,17.0667,-96.2,Mexico,MX,MEX,Oaxaca,minor,7965,1484117496
Aldama,Aldama,Aldama,28.8386,-105.9111,Mexico,MX,MEX,Chihuahua,minor,18642,1484197521
Aldama,Aldama,Aldama,22.9194,-98.0736,Mexico,MX,MEX,Tamaulipas,minor,13661,1484835121
Alfajayucan,Alfajayucan,Alfajayucan,20.4,-99.35,Mexico,MX,MEX,Hidalgo,,16859,1484991912
Algodones,Algodones,Algodones,32.7153,-114.7289,Mexico,MX,MEX,Baja California,,6796,1484797126
Allende,Allende,Allende,28.3333,-100.8333,Mexico,MX,MEX,Coahuila de Zaragoza,minor,21376,1484737223
Almoloya,Almoloya,Almoloya,19.7,-98.4,Mexico,MX,MEX,Hidalgo,minor,10638,1484494575
Almoloya de Alquisiras,Almoloya de Alquisiras,Almoloya de Alquisiras,18.85,-99.85,Mexico,MX,MEX,México,minor,14196,1484855096
Altamira,Altamira,Altamira,22.3375,-97.8694,Mexico,MX,MEX,Tamaulipas,minor,59536,1484764524
Altamirano,Altamirano,Altamirano,16.7361,-92.0389,Mexico,MX,MEX,Chiapas,minor,9200,1484175446
Altar,Altar,Altar,30.7136,-111.8353,Mexico,MX,MEX,Sonora,minor,8439,1484018181
Altata,Altata,Altata,24.6333,-107.9167,Mexico,MX,MEX,Sinaloa,,2001,1484699069
Altepexi,Altepexi,Altepexi,18.3676,-97.3004,Mexico,MX,MEX,Puebla,minor,21100,1484498863
Alvarado,Alvarado,Alvarado,18.7811,-95.7572,Mexico,MX,MEX,Veracruz,minor,52927,1484208918
Amat?n,Amatan,Amatan,17.3667,-92.8167,Mexico,MX,MEX,Chiapas,minor,19348,1484881501
Amatenango de la Frontera,Amatenango de la Frontera,Amatenango de la Frontera,15.4333,-92.1167,Mexico,MX,MEX,Chiapas,minor,30732,1484343885
Amatenango del Valle,Amatenango del Valle,Amatenango del Valle,16.5333,-92.4333,Mexico,MX,MEX,Chiapas,minor,9913,1484632903
Amatepec,Amatepec,Amatepec,18.65,-100.15,Mexico,MX,MEX,México,minor,27026,1484058749
Amatit?n,Amatitan,Amatitan,20.8333,-103.7167,Mexico,MX,MEX,Jalisco,minor,15344,1484634445
Amatl?n de los Reyes,Amatlan de los Reyes,Amatlan de los Reyes,18.8457,-96.9149,Mexico,MX,MEX,Veracruz,minor,9123,1484683104
Amealco,Amealco,Amealco,20.1881,-100.1439,Mexico,MX,MEX,Querétaro,minor,56457,1484505085
Ameca,Ameca,Ameca,20.5486,-104.0431,Mexico,MX,MEX,Jalisco,minor,36156,1484716155
Amecameca de Ju?rez,Amecameca de Juarez,Amecameca de Juarez,19.1238,-98.7665,Mexico,MX,MEX,México,minor,31687,1484353804
An?huac,Anahuac,Anahuac,28.48,-106.7442,Mexico,MX,MEX,Chihuahua,,9952,1484106283
Anenecuilco,Anenecuilco,Anenecuilco,18.7781,-98.985,Mexico,MX,MEX,Morelos,,11227,1484003918
?ngel R. Cabada,Angel R. Cabada,Angel R. Cabada,18.5969,-95.4453,Mexico,MX,MEX,Veracruz,minor,11689,1484667573
Angostura,Angostura,Angostura,25.3653,-108.1622,Mexico,MX,MEX,Sinaloa,minor,5086,1484677856
Ant?n Lizardo,Anton Lizardo,Anton Lizardo,19.05,-95.9833,Mexico,MX,MEX,Veracruz,,6003,1484903629
Apan,Apan,Apan,19.7,-98.4333,Mexico,MX,MEX,Hidalgo,minor,39247,1484086106
Apaseo el Alto,Apaseo el Alto,Apaseo el Alto,20.45,-100.6167,Mexico,MX,MEX,Guanajuato,minor,64443,1484638153
Apatzingan de la Constitucion,Apatzingan de la Constitucion,Apatzingan de la Constitucion,19.0886,-102.3508,Mexico,MX,MEX,Michoac?n de Ocampo,,128250,1484693242
Apizaco,Apizaco,Apizaco,19.4167,-98.1333,Mexico,MX,MEX,Tlaxcala,minor,81565,1484021647
Arteaga,Arteaga,Arteaga,25.45,-100.8333,Mexico,MX,MEX,Coahuila de Zaragoza,minor,8446,1484966010
