Abh?,Abha,«»Â«,18.2167,42.5,Saudi Arabia,SA,SAU,ëAs?r,admin,236157,1682759151
Ad Damm?m,Ad Dammam,«·œ„«„,26.4333,50.1,Saudi Arabia,SA,SAU,Ash Sharq?yah,admin,903312,1682452296
Ad Dirë?yah,Ad Dir`iyah,«·œÌ«—Ì…,24.7333,46.5756,Saudi Arabia,SA,SAU,Ar Riy??,,19143,1682421969
Al B??ah,Al Bahah,«·»«ÕÂ,20.0129,41.4677,Saudi Arabia,SA,SAU,Al B??ah,admin,21983,1682121855
Al ?aw?yah,Al Hawiyah,«·ÂÊ«Ì…,21.4411,40.4975,Saudi Arabia,SA,SAU,Makkah al Mukarramah,,18468,1682803387
Al ?illah,Al Hillah,«·ÂÌ·«,23.4895,46.7564,Saudi Arabia,SA,SAU,Ar Riy??,,594605,1682494753
Al Huf?f,Al Hufuf,«·Â›Ê›,25.3608,49.5997,Saudi Arabia,SA,SAU,Ash Sharq?yah,,660788,1682958157
Al Jubayl,Al Jubayl,«·Ã»Ì·,27.0046,49.646,Saudi Arabia,SA,SAU,Ash Sharq?yah,,237274,1682564079
Al Kharj,Al Kharj,«·Œ—Ã,24.1556,47.312,Saudi Arabia,SA,SAU,Ar Riy??,,298428,1682947408
Al Khubar,Al Khubar,«·Œ»—,26.3,50.2167,Saudi Arabia,SA,SAU,Ash Sharq?yah,,219679,1682059414
Al Majmaëah,Al Majma`ah,«·„Ã„⁄…,25.9039,45.3456,Saudi Arabia,SA,SAU,Ar Riy??,,12065,1682506946
Al Mubarraz,Al Mubarraz,«·„»—“,25.4416,49.6642,Saudi Arabia,SA,SAU,Ash Sharq?yah,,298562,1682484039
Al Qa??f,Al Qatif,«·ﬁÿÌ›,26.5196,50.0115,Saudi Arabia,SA,SAU,Ash Sharq?yah,,368892,1682001245
Al Qunfudhah,Al Qunfudhah,«·ﬁ‰›œÂ,19.1264,41.0789,Saudi Arabia,SA,SAU,Makkah al Mukarramah,,157,1682434353
Al Qurayy?t,Al Qurayyat,«·ﬁ—Ì« ,31.3333,37.3333,Saudi Arabia,SA,SAU,Al Jawf,,10000,1682805250
Al Quwayë?yah,Al Quway`iyah,Al Quway`iyah,24.0737,45.2806,Saudi Arabia,SA,SAU,Ar Riy??,,8712,1682154232
Al Wajh,Al Wajh,Al Wajh,26.2324,36.4636,Saudi Arabia,SA,SAU,Tab?k,,43237,1682508460
Arar,Arar,Arar,30.9833,41.0167,Saudi Arabia,SA,SAU,Al ?ud?d ash Sham?l?yah,admin,27449,1682664517
As Sulayyil,As Sulayyil,As Sulayyil,20.4623,45.5722,Saudi Arabia,SA,SAU,Ar Riy??,,24097,1682960661
A? ??íif,At Ta'if,At Ta'if,21.2667,40.4167,Saudi Arabia,SA,SAU,Makkah al Mukarramah,,579970,1682956102
Buraydah,Buraydah,Buraydah,26.3333,43.9667,Saudi Arabia,SA,SAU,Al Qa??m,admin,467410,1682470726
Dawmat al Jandal,Dawmat al Jandal,Dawmat al Jandal,29.8153,39.8664,Saudi Arabia,SA,SAU,Al Jawf,,22583,1682116359
Dhahran,Dhahran,Dhahran,26.2667,50.15,Saudi Arabia,SA,SAU,Ash Sharq?yah,,32067,1682374155
?urum?,Duruma,Duruma,24.6173,46.2256,Saudi Arabia,SA,SAU,Ar Riy??,,11461,1682041945
?afr al B??in,Hafr al Batin,Hafr al Batin,28.4337,45.9601,Saudi Arabia,SA,SAU,Ash Sharq?yah,,249194,1682394909
??íil,Ha'il,Ha'il,27.5236,41.7001,Saudi Arabia,SA,SAU,??íil,admin,385257,1682249750
J?z?n,Jazan,Jazan,16.8892,42.5611,Saudi Arabia,SA,SAU,J?z?n,admin,127743,1682515652
Jeddah,Jeddah,Jeddah,21.5428,39.1728,Saudi Arabia,SA,SAU,Makkah al Mukarramah,,3976000,1682926944
Kham?s Mushay?,Khamis Mushayt,Khamis Mushayt,18.3,42.7333,Saudi Arabia,SA,SAU,ëAs?r,,99213,1682497044
Layl?,Layla,Layla,22.2833,46.7333,Saudi Arabia,SA,SAU,Ar Riy??,,7920,1682438079
Mecca,Mecca,Mecca,21.4225,39.8261,Saudi Arabia,SA,SAU,Makkah al Mukarramah,admin,1675368,1682169241
Medina,Medina,Medina,24.4667,39.6,Saudi Arabia,SA,SAU,Al Mad?nah al Munawwarah,admin,1180770,1682345785
Najr?n,Najran,Najran,17.4917,44.1322,Saudi Arabia,SA,SAU,Najr?n,admin,72038,1682069716
Qalëat B?shah,Qal`at Bishah,Qal`at Bishah,20.0087,42.5987,Saudi Arabia,SA,SAU,ëAs?r,,88291,1682202412
Raf??,Rafha,Rafha,29.6202,43.4948,Saudi Arabia,SA,SAU,Al ?ud?d ash Sham?l?yah,,64755,1682612877
Riyadh,Riyadh,Riyadh,24.65,46.71,Saudi Arabia,SA,SAU,Ar Riy??,primary,6889000,1682999334
Sak?k?,Sakaka,Sakaka,30,40.1333,Saudi Arabia,SA,SAU,Al Jawf,admin,128332,1682232132
Tab?k,Tabuk,Tabuk,28.3838,36.555,Saudi Arabia,SA,SAU,Tab?k,admin,547957,1682590992
Turabah,Turabah,Turabah,21.2142,41.6331,Saudi Arabia,SA,SAU,Makkah al Mukarramah,,5324,1682016249
Yanbuë,Yanbu`,Yanbu`,24.0943,38.0493,Saudi Arabia,SA,SAU,Al Mad?nah al Munawwarah,,267590,1682000044
